experiment_id,exp_title,gene_mutation,gene_deletion,protein_depletion,stress_condition,time_series,chip_input,antibody_control,chip_target,mutation,deletion,depletion,stress,time_point,project_id,model_summary,model_annotation,warning,sample,perturbation,control
SRX058452,H3_RC_ChIP-seq,False,False,False,False,True,False,False,H3,,,,,RC phase,PRJNA140547,gpt-4o-mini,gpt-4o-2024-08-06,False,H3-WT-RC_phase,none,Input-WT-RC_phase
SRX058451,H3_OX_ChIP-seq,False,False,False,False,True,False,False,H3,,,,,OX,PRJNA140547,gpt-4o-mini,gpt-4o-2024-08-06,False,H3-WT-OX,none,None
SRX058450,H3K9ac_RC_ChIP-seq,False,False,False,False,True,False,False,H3K9ac,,,,,RC phase,PRJNA140547,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K9ac-WT-RC_phase,none,Input-WT-RC_phase
SRX058449,H3K9ac_OX_ChIP-seq,False,False,False,False,True,False,False,H3K9ac,,,,,OX phase,PRJNA140547,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K9ac-WT-OX_phase,none,Input-WT-OX_phase
SRX058456,Input_RC_ChIP-seq,False,False,False,False,True,True,False,,,,,,RC phase,PRJNA140547,gpt-4o-mini,gpt-4o-2024-08-06,False,Input-WT-RC_phase,none,
SRX058455,Input_OX_ChIP-seq,False,False,False,False,True,True,False,,,,,,OX phase,PRJNA140547,gpt-4o-mini,gpt-4o-2024-08-06,False,Input-WT-OX_phase,none,
SRX390624,H3K4ME3_WT_FM392_Rep_2,False,False,False,False,False,False,False,H3K4me3,,,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-WT,none,Input-WT
SRX390623,H3K4ME3_WT_FM392_Rep_1,False,False,False,False,False,False,False,H3K4me3,,,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-WT,none,Input-WT
SRX390622,H3K4ME3_leo1_delta_FM392_Rep_2,False,True,False,False,False,False,False,H3K4me3,,ΔLeo1,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-ΔLeo1-gene_deletion,gene_deletion,None
SRX390621,H3K4ME3_leo1_delta_FM392_Rep_1,False,True,False,False,False,False,False,H3K4me3,,ΔLeo1,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-ΔLeo1-gene_deletion,gene_deletion,None
SRX390620,H3K4ME3_Full_length_Set1_Rep_2,False,False,False,False,False,False,False,H3K4me3,,,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-WT,none,Input-WT
SRX390618,H3K4ME3_Full_length_Set1_Rep_1,False,False,False,False,False,False,False,H3K4me3,,,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-WT,none,Input-WT
SRX390616,H3K4ME3_aa762-1080_Set1_Rep_1,True,False,False,False,False,False,False,H3K4me3,Set1-aa762-1080,,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-Set1-aa762-1080-gene_mutation,gene_mutation,Input-Set1-aa762-1080-gene_mutation
SRX390615,H3K4ME3_chd1_delta_FM392_Rep_2,False,True,False,False,False,False,False,H3K4me3,,ΔChd1,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-ΔChd1-gene_deletion,gene_deletion,None
SRX390614,H3K4ME3_chd1_delta_FM392_Rep_1,False,True,False,False,False,False,False,H3K4me3,,ΔChd1,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-ΔChd1-gene_deletion,gene_deletion,None
SRX390613,H3K4ME3_aa762-1080_Set1_Rep_2,True,False,False,False,False,False,False,H3K4me3,Set1-aa762-1080,,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-Set1-aa762-1080-gene_mutation,gene_mutation,Input-Set1-aa762-1080-gene_mutation
SRX390619,Input_for_Full_length_Set1_Rep1,False,False,False,False,False,True,False,,,,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,Input-WT,none,
SRX390617,Input_Set1_aa762-1080_Rep_1,True,False,False,False,False,True,False,,Set1-aa762-1080,,,,,PRJNA231240,gpt-4o-mini,gpt-4o-2024-08-06,False,Input-Set1-aa762-1080-gene_mutation,gene_mutation,
SRX1143282,"Rad51 chIP-seq in H4K44->R mutant yeast, rep #2",True,False,False,False,False,False,False,Rad51,H4K44-R,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,Rad51-H4K44-R-gene_mutation,gene_mutation,Input-H4K44-R-gene_mutation-4hrs
SRX1143281,"Rad51 chIP-seq in H4K44->R mutant yeast, rep #1",True,False,False,False,False,False,False,Rad51,H4K44-R,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,Rad51-H4K44-R-gene_mutation,gene_mutation,Input-H4K44-R-gene_mutation-4hrs
SRX1143278,"H3 chIP-seq in H4K44->R mutant yeast, rep #2",True,False,False,False,False,False,False,H3,H4-K44R,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3-H4-K44R-gene_mutation,gene_mutation,None
SRX1143277,"H3 chIP-seq in H4K44->R mutant yeast, rep #1",True,False,False,False,False,False,False,H3,H4K44-R,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3-H4K44-R-gene_mutation,gene_mutation,Input-H4K44-R-gene_mutation-4hrs
SRX1143276,"H3 chIP-seq in WT yeast, rep #2",False,False,False,False,False,False,False,H3,,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3-WT,none,Input-WT
SRX1143275,"H3 chIP-seq in WT yeast, rep #1",False,False,False,False,False,False,False,H3,,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3-WT,none,Input-WT
SRX1143274,"H3K56ac chIP-seq in H4K44->R mutant yeast, rep #2",True,False,False,False,False,False,False,H3K56ac,H4K44-R,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K56ac-H4K44-R-gene_mutation,gene_mutation,Input-H4K44-R-gene_mutation-4hrs
SRX1143273,"H3K56ac chIP-seq in H4K44->R mutant yeast, rep #1",True,False,False,False,False,False,False,H3K56ac,H4K44-R,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K56ac-H4K44-R-gene_mutation,gene_mutation,Input-H4K44-R-gene_mutation-4hrs
SRX1143272,"H3K56ac chIP-seq in WT yeast, rep #2",False,False,False,False,False,False,False,H3K56ac,,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K56ac-WT,none,Input-WT
SRX1143271,"H3K56ac chIP-seq in WT yeast, rep #1",False,False,False,False,False,False,False,H3K56ac,,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K56ac-WT,none,Input-WT
SRX1143270,"H3K4me3 chIP-seq in H4K44->R mutant yeast, rep #2",True,False,False,False,False,False,False,H3K4me3,H4K44-R,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-H4K44-R-gene_mutation,gene_mutation,Input-H4K44-R-gene_mutation-4hrs
SRX1143269,"H3K4me3 chIP-seq in H4K44->R mutant yeast, rep #1",True,False,False,False,True,False,False,H3K4me3,H4K44-R,,,,4hrs,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-H4K44-R-gene_mutation-4hrs,gene_mutation,Input-H4K44-R-gene_mutation-4hrs
SRX1143268,"H3K4me3 chIP-seq in WT yeast, rep #2",False,False,False,False,False,False,False,H3K4me3,,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-WT,none,Input-WT
SRX1143267,"H3K4me3 chIP-seq in WT yeast, rep #1",False,False,False,False,False,False,False,H3K4me3,,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H3K4me3-WT,none,Input-WT
SRX643290,"H4 chIP-seq from WT yeast, replicate 2",False,False,False,True,True,False,False,H4,,,,sporulation,4hrs,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H4-sporulation-stress_condition-4hrs,stress_condition,None
SRX643289,"H4 chIP-seq from WT yeast, replicate 1",False,False,False,True,True,False,False,H4,,,,sporulation,4hrs,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H4-sporulation-stress_condition-4hrs,stress_condition,None
SRX643288,"H4K44ac chIP-seq from WT yeast, replicate 2",False,False,False,True,True,False,False,H4K44ac,,,,sporulation,4hrs,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H4K44ac-sporulation-stress_condition-4hrs,stress_condition,None
SRX643287,"H4K44ac chIP-seq from WT yeast, replicate 1",False,False,False,True,True,False,False,H4K44ac,,,,sporulation,4hrs,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,H4K44ac-sporulation-stress_condition-4hrs,stress_condition,None
SRX1143284,"Input in H4K44->R mutant yeast, rep #1",True,False,False,False,True,True,False,,H4K44-R,,,,4hrs,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,Input-H4K44-R-gene_mutation-4hrs,gene_mutation,
SRX1143283,"Input in WT yeast, rep #1",False,False,False,False,False,True,False,,,,,,,PRJNA254082,gpt-4o-mini,gpt-4o-2024-08-06,False,Input-WT,none,
SRX717511,h4r3me2s_0,False,False,False,False,True,False,False,H4R3me2s,,,,,0 min,PRJNA262623,gpt-4o-mini,gpt-4o-2024-08-06,False,H4R3me2s-WT-0_min,none,Input-WT-0_min
SRX717510,h4r3me2s_4,False,False,False,True,True,False,False,H4R3me2s,,,,diamide,4 min,PRJNA262623,gpt-4o-mini,gpt-4o-2024-08-06,False,H4R3me2s-diamide-stress_condition-4_min,stress_condition,Input-diamide-stress_condition-4_min
SRX717509,h4r3me2s_8,False,False,False,True,True,False,False,H4R3me2s,,,,diamide,8 min,PRJNA262623,gpt-4o-mini,gpt-4o-2024-08-06,False,H4R3me2s-diamide-stress_condition-8_min,stress_condition,Input-diamide-stress_condition-8_min
SRX717508,h4r3me2s_15,False,False,False,True,True,False,False,H4R3me2s,,,,diamide,15 min,PRJNA262623,gpt-4o-mini,gpt-4o-2024-08-06,False,H4R3me2s-diamide-stress_condition-15_min,stress_condition,Input-diamide-stress_condition-15_min
